key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:spokesperson
campaign-40,AA11-TEST_40,"Test","Test","2026/03/01 09:00","2026/12/31 23:59","http://example.org?a=1&b=2",false,spokesperson-01
campaign-41,AA11-TEST_41,"Test","Test","2026/03/01 09:00","2026/12/31 23:59","http://example.org?",false,spokesperson-01
campaign-42,AA11-TEST_42,"Test","Test","2026/03/01 09:00","2026/12/31 23:59","http://example.org?a",false,spokesperson-01
campaign-43,AA11-TEST_43,"Test","Test","2026/03/01 09:00","2026/12/31 23:59","http://example.org?a&b",false,spokesperson-01
campaign-44,AA11-TEST_44,"Test","Test","2026/03/01 09:00","2026/12/31 23:59","http://example.org/",false,spokesperson-01
campaign-45,AA11-TEST_45,"Test","Test","2026/03/01 09:00","2026/12/31 23:59","http://example.org/a",false,spokesperson-01
campaign-46,AA11-TEST_46,"Test","Test","2026/03/01 09:00","2026/12/31 23:59","http://example.org/a/b",false,spokesperson-01
campaign-47,AA11-TEST_47,"Test","Test","2026/03/01 09:00","2026/12/31 23:59","http://example.org/a/b?",false,spokesperson-01
campaign-48,AA11-TEST_48,"Test","Test","2026/03/01 09:00","2026/12/31 23:59","http://example.org/a/b?a&b",false,spokesperson-01
campaign-49,AA11-TEST_49,"Test","Test","2026/03/01 09:00","2026/12/31 23:59","http://www.lorem-ipsum.org",false,spokesperson-01
